@info
{
    "table":{
        "name":"gold",
        "description":"",
        "idAttrib":{
            "name":"pairID",
            "type":"INTEGER"
        },
        "projectName":"video_games",
        "attributes":[
            {
                "name":"pairID",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbId",
                "type":"INTEGER"
            },
            {
                "name":"MobyGamesId",
                "type":"INTEGER"
            },
            {
                "name":"theGamesDbName",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesName",
                "type":"TEXT"
            },
            {
                "name":"theGamesDbDate",
                "type":"TEXT"
            },
            {
                "name":"MobyGamesDate",
                "type":"TEXT"
            },
            {
                "name":"label",
                "type":"INTEGER"
            }
        ]
    }
}

@data
pairID:INTEGER,theGamesDbId:INTEGER,MobyGamesId:INTEGER,theGamesDbName:TEXT,MobyGamesName:TEXT,theGamesDbDate:TEXT,MobyGamesDate:TEXT,label:INTEGER
225,2563,6418,b'Sonic the Hedgehog 4: Episode 2',b'Sonic CD',05/15/2012,12/14/2011,0
226,1081,3848,b'Skylanders Giants Portal Owners Pack',"b""Skylanders: Spyro's Adventure""",10/21/2012,10/16/2011,0
227,697,6462,b'Marvel Avengers: Battle for Earth',b'Marvel Ultimate Alliance / Forza Motorsport 2',10/30/2012,10/08/2007,0
228,443,1474,b'Final Fantasy XI Online',b'Lightning Returns: Final Fantasy XIII - FFX-2 Yuna',04/18/2006,02/11/2014,0
229,2452,1726,b'Scene It? Bright Lights! Big Screen!',"b""Borderlands 2: Sir Hammerlock's Big Game Hunt""",11/17/2009,01/15/2013,0
230,348,6683,b'Dragon Age: Origins - Ultimate Edition',b'Operation Flashpoint: Dragon Rising',10/25/2010,10/06/2009,0
231,1007,4091,b'Rocketmen: It Came from Uranus',b'Triple Pack: Outland / From Dust / Beyond Good & Evil HD',05/14/2008,09/21/2012,0
232,1851,3485,b'Grand Slam Tennis 2',b'SEGA Superstars Tennis',02/14/2012,03/18/2008,0
233,346,6322,b'Dragon Age: Origins',b'Dragon Age II: Mark of the Assassin',11/03/2009,10/11/2011,0
234,3293,5009,b'Marvel Super Hero Squad: Comic Combat',b'DJ Hero 2',11/15/2011,10/19/2010,0
235,493,5692,b'Grand Theft Auto IV: The Complete Edition',"b""Assassin's Creed IV: Black Flag (Special Edition)""",10/26/2010,10/29/2013,0
236,2781,3783,b'Warriors Orochi 3',b'Dynasty Warriors 7',03/20/2012,03/29/2011,0
237,2557,6423,b'Sonic CD',b'Sonic the Hedgehog',12/20/2011,01/30/2007,0
238,1296,402,b'Tropico 3',b'Tropico 4: Megalopolis',02/16/2010,12/11/2012,0
239,2903,1129,b'Big Time Rush: Dance Party',b'The Legend of Zelda: Ocarina of Time',11/06/2012,02/26/2007,0
240,1836,3208,b'God of War Collection',b'God of War: Chains of Olympus',11/17/2009,10/06/2011,0
241,944,5969,b'Rage',b'Rage (Exclusive EB Games Edition)',10/04/2011,10/06/2011,1
242,1890,5874,b'Hasbro Family Game Night 3',b'Darkstalkers: The Night Warriors',10/26/2010,11/29/2011,0
243,3043,3642,b'Dream Dance & Cheer',b'Dance Dance Revolution Hottest Party',10/27/2009,09/25/2007,0
244,3459,4216,b'Red Steel',b'Red Steel',11/19/2006,11/19/2006,1
245,514,2130,b'Guitar Hero: Warriors of Rock',b'DJ Hero 2',09/28/2010,10/19/2010,0
246,406,4977,b'Fable III',b'Fable: The Journey',06/01/2011,10/09/2012,0
247,2434,6166,b'Saint Seiya Sanctuary Battle',b'Battle Fantasia',11/23/2011,12/22/2009,0
248,3383,2429,b'Nickelodeon Dance',b'Just Dance 2014',11/08/2011,10/08/2013,0
249,2784,2014,b'Way of the Samurai 3',b'Samurai Spirits: Kenkaku Yubinan Pack',10/20/2009,05/31/2007,0
250,3020,3907,b'Disney Sing It: High School Musical 3: Senior Year',b'Disney Infinity: Agent P',02/17/2009,04/29/2014,0
251,3635,8,b'Thrillville: Off the Rails',b'Thrillville: Off the Rails',,10/16/2007,1
252,863,3743,b'Ninja Blade',b'Ninja Gaiden II',04/07/2009,06/03/2008,0
253,3358,3458,b'NBA 2K13',b'NBA Live 09 All-Play',10/02/2012,10/10/2008,0
254,2294,5416,b'Prison Break: The Conspiracy',b'CSI: Crime Scene Investigation - Fatal Conspiracy ',03/30/2010,10/26/2010,0
255,1229,5778,b'The Walking Dead: Episode 1: A New Day',b'The Walking Dead: Episode 3 - Long Road Ahead',04/27/2012,08/29/2012,0
256,1494,4004,b'Beijing 2008',b'UEFA Euro 2008',07/08/2008,04/17/2008,0
257,2044,821,b'Madden NFL 09',b'NFL Tour',08/12/2008,01/08/2008,0
258,635,1371,b'LEGO Indiana Jones 2: The Adventure Continues',b'LEGO Indiana Jones: The Original Adventures',11/17/2009,06/03/2008,0
259,519,5464,b'Halo 3 Limited Edition',b'Halo: Spartan Assault',09/25/2007,01/31/2014,0
260,3324,2783,b'Monster Truck Mayhem',b'Excite Truck',09/22/2009,11/19/2006,0
261,2362,6544,"b""Red Johnson's Chronicles - One Against All""",b'BioShock Infinite: Burial at Sea - Episode One',09/11/2012,11/12/2013,0
262,2489,3871,b'Sideway: New York',b'Fallout: New Vegas',10/11/2011,10/19/2010,0
263,3215,548,b'Kidz Bop Dance Party!',b'Our House: Party!',09/21/2010,09/22/2009,0
264,1807,3104,b'Final Fight: Double Impact',b'Langrisser IV & V: Final Edition',04/15/2010,11/25/2009,0
265,49,893,b'Army of Two',b'Army of Two',03/04/2008,03/04/2008,1
266,966,792,b'Red Dead Redemption: Game of the Year Edition',b'Red Dead Redemption: Undead Nightmare',10/11/2011,11/23/2010,0
267,1885,4582,b'Harry Potter and the Deathly Hallows Part 1',b'Harry Potter and the Half-Blood Prince',11/16/2010,06/30/2009,0
268,545,1709,b'Hellboy: The Science of Evil',b'Resident Evil: Operation Raccoon City',06/24/2008,03/20/2012,0
269,2012,1909,b'Leisure Suit Larry Box Office Bust',b'The Orange Box',05/05/2009,12/11/2007,0
270,1113,6366,b'Space Invaders Infinity Gene',b'Space Channel 5: Part 2',09/15/2010,10/05/2011,0
271,1331,2600,b'Virtua Tennis 4',b'SEGA Superstars Tennis',,03/18/2008,0
272,2982,2438,b'Dance Dance Revolution',b'Karaoke Revolution: Glee',11/16/2010,11/09/2010,0
273,1001,6410,b'Rock Band: Country Track Pack 2',b'Rock of the Dead',02/01/2011,10/19/2010,0
274,1847,176,b'Gran Turismo 5 XL Edition',b'Resident Evil 5: Lost in Nightmares',01/17/2012,02/18/2010,0
275,2500,1623,b'SingStar Digital',b'SingStar Vol.3',11/13/2012,11/14/2008,0
276,3414,2759,b'Petz Sports Dog Playground',b'Deca Sports 2',,09/29/2009,0
277,2710,4054,"b""Tom Clancy's Ghost Recon Advanced Warfighter 2""","b""Tom Clancy's EndWar (Limited Edition)""",08/23/2007,11/06/2008,0
278,1140,4984,b'Steel Champions',b'Fallout 3: Game Add-on Pack - Broken Steel and Point Lookout',01/21/2013,08/27/2009,0
279,2313,185,b'Puzzle Chronicles',b'Resident Evil: The Darkside Chronicles',04/22/2010,06/27/2012,0
280,2471,3487,b'Sengoku Musou 3 Z',b'Sengoku Basara 4 (Hyakka Ry\xc5\x8dran Tamatebako)',02/10/2011,01/23/2014,0
281,2602,2843,b'Street Fighter IV',"b""Street Fighter IV (Collector's Edition)""",02/17/2009,02/17/2009,1
282,2778,5895,b'Warhammer 40,000: Space Marine',b'Dead Space',09/06/2011,0
283,890,4711,b'Penny Arcade Adventures: Episode One',b'Adventures of Sid',05/21/2008,01/25/2010,0
284,1122,4281,b'Spider-Man: Web of Shadows',b'Teenage Mutant Ninja Turtles: Out of the Shadows',10/21/2008,08/28/2013,0
285,976,1703,b'Resident Evil 5: Gold Edition',b'Resident Evil 5 (Limited Edition)',03/09/2010,03/13/2009,0
286,3468,3033,b'Retro City Rampage',b'River City Ransom',02/28/2013,04/21/2008,0
287,472,3246,b'Gatling Gears',b'Gears of War 3',05/11/2011,09/20/2011,0
288,678,2276,b'Madden NFL Arcade',b'Madden NFL 08',11/24/2009,08/14/2007,0
289,317,2888,b'Devil May Cry 4',b'Far Cry: The Wild Expedition',02/05/2008,02/12/2014,0
290,2723,2006,b'Tomb Raider: The Final Hours Edition',b'Sam & Max 302: The Tomb of Sammun-Mak',03/05/2013,05/18/2010,0
291,1199,4649,b'The History Channel: Battle for the Pacific',b'Battlestations: Pacific',,05/15/2009,0
292,2611,1738,b'Super Rub A Dub',b'Brainpipe: A Plunge to Unhumanity',05/03/2007,12/09/2009,0
293,1398,848,b'007: Quantum of Solace',b'007: Quantum of Solace',11/04/2008,11/04/2008,1
294,1174,2348,b'The Adventures of Tintin: The Game',b'Port Royale 3: New Adventures',12/06/2011,05/31/2013,0
295,2126,3676,b'Monkey Island Special Edition Collection',b'Monkey Island: Special Edition Bundle',09/09/2011,09/09/2011,1
296,2449,1833,b'SBK X: Superbike World Championship',b'Disney\xe2\x80\xa2Pixar Cars: Mater-National Championship',12/07/2010,10/29/2007,0
297,2094,4001,b'Metal Gear Solid 4: Guns of the Patriots Limited Edition',b'Twisted Metal: Black',06/12/2008,02/12/2013,0
298,417,97,b'Fallout: New Vegas Ultimate Edition',b'Wolfenstein: The New Order (Occupied Edition)',02/07/2012,05/20/2014,0
299,490,2599,b'Grand Slam Tennis 2',b'Sega Soccer Slam',02/10/2012,12/15/2008,0
300,569,6453,b'Iron Man',b'Man vs. Wild with Bear Grylls',05/02/2008,04/12/2011,0
301,1793,1614,b'FIFA Soccer 11',b'FIFA Soccer 09',09/28/2010,10/01/2008,0
302,1494,5614,b'Beijing 2008',b'WWE Smackdown vs. Raw 2008',07/08/2008,11/13/2007,0
303,116,2555,b'Bioshock 2',b'BioShock 2 (Rapture Edition)',02/09/2010,02/09/2010,1
304,317,92,b'Devil May Cry 4',b'The Wolf Among Us: Episode 5 - Cry Wolf',02/05/2008,07/09/2014,0
305,1571,3563,b'Call of Duty: Modern Warfare 3',b'Call of Duty: MW3 - Collection 4: Final Assault',11/08/2011,10/10/2012,0
306,1080,3854,b'Skylanders Giants',"b""Skylanders: Spyro's Adventure - Cynder""",10/21/2012,01/01/2012,0
307,877,6316,b'Operation Flashpoint: Dragon Rising',b'Double Dragon Neon',10/06/2009,09/12/2012,0
308,1372,4938,b'WWE SmackDown vs. Raw 2009',b'WWE All Stars',11/09/2008,03/29/2011,0
309,2603,5228,b'Street Fighter X Tekken',b'Voltage Fighter Gowcaizer',03/06/2012,09/14/2011,0
310,439,4260,b'FIFA Street 3',b'FIFA World Cup: Germany 2006',02/18/2008,04/24/2006,0
311,1822,5982,b'Full Auto 2: Battlelines',b'Grand Theft Auto IV (Special Edition)',12/07/2006,04/29/2008,0
312,2439,1345,b'Sam & Max Beyond Time and Space',b'Time Crisis 4',10/18/2011,11/20/2007,0
313,3018,3918,b'Disney Princess: My Fairytale Adventure',b'Disney Infinity: Violet',,08/18/2013,0
314,1105,2102,b'Sonic the Hedgehog 4: Episode 2',b'Sonic & Knuckles',05/16/2012,09/09/2009,0
315,2436,3954,b'Saints Row IV',b'Super Street Fighter IV: Arcade Edition',08/20/2013,06/07/2011,0
316,1153,5848,b'Super Street Fighter IV: Arcade Edition',b'Xbox Live Arcade Compilation Disc',12/16/2010,01/01/2007,0
317,825,267,b'NCAA Football 14',b'NCAA Basketball 09',07/09/2013,11/17/2008,0
318,1868,1445,b'Guitar Hero 5',b'Resident Evil 5: Gold Edition',09/01/2009,02/18/2010,0
319,995,2487,b'Rock Band',b'Call of Duty: Black Ops II - Party Rock MP Personalization',11/20/2007,03/13/2013,0
320,3701,2652,b'Wii Fit',b'Big Brain Academy: Wii Degree',05/19/2008,06/12/2007,0
321,2206,5809,b'Need for Speed: Rivals',b'Need for Speed: Rivals',11/19/2013,11/19/2013,1
322,737,4701,b'Midway Arcade Origins',b'Action Arcade Wrestling',11/13/2012,09/11/2010,0
323,1940,1079,b'James Bond 007: Blood Stone',b'Call of Juarez: Bound in Blood',11/02/2010,06/30/2009,0
324,703,3604,b'Marvel vs. Capcom 3: Fate of Two Worlds (Special Edition)',b'Capcom Arcade Cabinet: 1985-I Pack',02/15/2011,03/05/2013,0
325,1367,4940,b'WWE 2K14',b'WWE SmackDown vs. Raw 2007',10/29/2013,11/14/2006,0
326,2554,2030,b'Sonic & SEGA All-Stars Racing',b'Bang Bang Racing',02/23/2010,06/05/2012,0
327,2757,1754,b'Uncharted 2: Among Thieves Fortune Hunter Edition',b'Tomb Raider: Hunter Skin',10/01/2009,03/26/2013,0
328,877,915,b'Operation Flashpoint: Dragon Rising',b'Dead Rising 2: Off the Record',10/06/2009,10/11/2011,0
329,641,1379,b'LEGO Star Wars III: The Clone Wars',b'LEGO Star Wars: The Complete Saga',03/22/2011,11/06/2007,0
330,3085,1859,b'Final Fantasy Crystal Chronicles: My Life as a Dark Lord',b'Final Fantasy V',07/20/2009,01/18/2011,0
331,3374,1948,b'New Play Control!: Mario Power Tennis',b'Mario Power Tennis',,03/09/2009,0
332,2173,2242,b'NBA 2K10: Draft Combine',b'NBA Live 10',08/26/2009,10/05/2009,0
333,1271,4270,b'Tomb Raider: The Final Hours Edition',b'Final Fantasy XIII-2: DLC Bundle Pack',03/05/2013,07/16/2013,0
334,2361,5422,"b""Red Johnson's Chronicles""","b""Tales of Symphonia Chronicles (Collector's Edition)""",04/19/2011,02/25/2014,0
335,219,4510,b'Cloudy With a Chance of Meatballs',"b""Jimmie Johnson's Anything with an Engine""",09/18/2009,11/01/2011,0
336,1561,661,"b""Cabela's Outdoor Adventures""",b'LEGO Indiana Jones: The Original Adventures',09/09/2009,06/03/2008,0
337,3203,2430,b'Just Dance 4',b'Just Dance 3',10/09/2012,10/07/2011,0
338,1835,6015,b'Giana Sisters: Twisted Dreams',b'Pinball Dreams',,11/19/2009,0
339,2370,175,b'Resident Evil Code: Veronica X HD',b'Resident Evil 5 (Limited Edition)',09/27/2011,03/13/2009,0
340,1261,6575,"b""Tom Clancy's Rainbow 6: Patriots""","b""Tom Clancy's Splinter Cell: Blacklist (Special Edition)""",,08/20/2013,0
341,632,1381,b'Lego Batman: The Videogame',b'LEGO The Lord of the Rings',09/23/2008,11/13/2012,0
342,1887,4581,b'Harry Potter and the Half-Blood Prince',b'Harry Potter and the Deathly Hallows: Part 2',06/30/2009,07/01/2011,0
343,956,780,b'Rayman Legends',b'Rayman Legends',09/03/2013,09/03/2013,1
344,1563,2258,b'Call of Duty 3',b'Call of Duty: Black Ops II - Benjamins MP Personalization Pack',11/14/2006,04/11/2013,0
345,2295,5614,b'Pro Evolution Soccer 2008',b'WWE Smackdown vs. Raw 2008',03/11/2008,11/13/2007,0
346,2513,520,b'SingStar Take That',b'SingStar Vol.2',11/06/2009,06/20/2008,0
347,2393,3831,b'Risen 2: Dark Waters Special Edition',b'Dark Legend',07/31/2012,10/03/2010,0
348,3133,5251,b'Guitar Hero 5',b'Guitar Hero: Warriors of Rock',09/01/2009,09/28/2010,0
349,415,4987,b'Fallout 3: Game of the Year Edition',b'Fallout 3: Mothership Zeta',10/21/2009,08/03/2009,0
350,1705,3239,b'Dragon Age: Inquisition',b'Dragon Age II: Legacy',11/18/2014,07/26/2011,0
351,937,5961,b'Quake 4',b'Quake Arena Arcade',11/18/2005,12/15/2010,0
352,2533,4341,"b""Skylanders: Spyro's Adventure""",b'Skylanders: Swap Force - Doom Stone',10/16/2011,05/13/2014,0
353,147,935,b'Borderlands 2',b'Borderlands 2: Game of the Year Edition',09/18/2012,10/08/2013,0
354,1561,3940,"b""Cabela's Outdoor Adventures""","b""Cabela's Adventure Camp""",09/09/2009,11/01/2011,0
355,2512,1621,b'SingStar Studio 100',b'SingStar Vol.2',11/12/2010,06/20/2008,0
356,589,3354,b'Just Dance 3',b'Just Dance 3',10/07/2011,10/07/2011,1
357,93,3328,b'Battlefield: Bad Company 2',b'Battlefield 3: Armored Kill',03/02/2010,09/25/2012,0
358,368,5830,b'Dynasty Warriors 5: Empires',b'Dynasty Warriors 7',06/22/2006,03/29/2011,0
359,1624,5058,b'CSI: Fatal Conspiracy',b'Ruff Trigger: The Vanocore Conspiracy',10/26/2010,10/02/2012,0
360,2351,1728,b'Record of Agarest War 2 Limited Edition',b'Borderlands 2 (Ultimate Loot Chest Limited Edition)',06/27/2012,09/18/2012,0
361,46,6036,b'Are You Smarter than a 5th Grader?  Game Time',b'Naruto: Rise of a Ninja',10/26/2009,10/30/2007,0
362,1806,2381,b'Final Fantasy XIV: A Realm Reborn',b'Lightning Returns: Final Fantasy XIII - Dark Samurai',08/27/2013,01/28/2014,0
363,2992,2750,b'Dawn of Discovery',b'Dawn of Discovery',06/23/2009,06/25/2009,1
364,190,3122,b'Call of Juarez: Cartel',b'Call of Duty: Modern Warfare 2 (Hardened Edition)',07/19/2011,11/10/2009,0
365,184,3129,b'Call of Duty: Ghosts',b'Call of Duty: MW3 - Collection 3: Chaos Pack',11/05/2013,08/09/2012,0
366,57,5680,"b""Assassin's Creed III""","b""Assassin's Creed II (Black Edition)""",10/30/2012,11/19/2009,0
367,826,5899,b'NCAA March Madness 07',b'Alice: Madness Returns',01/17/2007,06/14/2011,0
368,2258,1330,b'Penny Arcade Adventures: Episode One',b'The Walking Dead: Episode 5 - No Time Left',10/23/2008,11/20/2012,0
369,1803,216,b'Final Fantasy XIII',"b""Final Fantasy XIII-2: Serah's Outfit - Beachwear""",03/09/2010,02/28/2012,0
370,3190,4022,b'Jewel Quest Trilogy',b'Angry Birds Trilogy',02/15/2011,08/13/2013,0
371,146,945,b'Borderlands - Game of the Year Edition',b'Borderlands: The Zombie Island of Dr. Ned',10/12/2010,11/24/2009,0
372,710,1692,b'Mass Effect 3',b'Mass Effect 3: Groundside Resistance Pack',03/06/2012,10/16/2012,0
373,3374,4767,b'New Play Control!: Mario Power Tennis',b'Power Instinct',,10/04/2011,0
374,121,5903,b'BIT.TRIP Presents Runner 2: Future Legend of Rhythm Alien',b'Alien Breed Trilogy',03/05/2013,03/18/2011,0
375,2371,4133,b'Resident Evil Raccoon City Special Edition',b'Asuka 120% Special: BURNING Fest.',03/20/2012,12/08/2010,0
376,1133,5125,b'Star Trek: Legacy',"b""Star Ocean: The Last Hope (Limited Collector's Edition)""",12/15/2006,06/05/2009,0
377,174,1652,"b""Cabela's Outdoor Adventures""","b""Cabela's Big Game Hunter""",09/09/2009,11/08/2007,0
378,417,96,b'Fallout: New Vegas Ultimate Edition',b'Wolfenstein: The New Order',02/07/2012,05/20/2014,0
379,2702,1560,b'Time Crisis: Razing Storm',b'Prince of Persia: The Sands of Time',10/19/2010,11/17/2010,0
380,974,1700,b'Resident Evil 4 HD',b'Resident Evil 5',09/20/2011,03/13/2009,0
381,1134,5134,b'Star Wars: The Force Unleashed',b'Star Wars: The Force Unleashed - Jedi Temple Mission Pack',09/16/2008,12/04/2008,0
382,178,2485,b'Call of Duty 3',b'Call of Duty: Black Ops II - Nuketown Zombies Map',11/07/2006,03/13/2013,0
383,2442,3099,b'Sangoku Hime: Senkou no Taika - Akatsuki no Haryuu',b'Kuroi Hitomi no Noah: Cielgris Fantasm',07/19/2012,01/30/2008,0
384,1184,1479,b'The Chronicles of Narnia: Prince Caspian',b'Lightning Returns: Final Fantasy XIII - Shining Prince',05/15/2008,01/28/2014,0
385,108,1706,b'Beyond Good & Evil HD',b'Resident Evil 6 Archives',03/02/2011,10/02/2012,0
386,3347,2,b'Naruto Shippuden: Clash of Ninja Revolution 3',b'Teenage Mutant Ninja Turtles',11/12/2009,04/02/2007,0
387,73,5688,b'Bakugan: Battle Brawlers',"b""Assassin's Creed II: Sequence 12 - Battle of Forli""",,01/28/2010,0
388,2981,3635,b'Cursed Mountain',b'Cursed Mountain (Limited Edition)',08/25/2009,08/25/2009,1
389,3565,6734,b'Super Mario 64',b'Mario Bros.',11/19/2006,11/19/2006,1
390,1105,2098,b'Sonic the Hedgehog 4: Episode 2',b'Sonic & All-Stars Racing Transformed',05/16/2012,11/18/2012,0
391,2574,5991,b'Space Channel 5: Part 2',b'Gran Turismo 5',10/05/2011,11/24/2010,0
392,970,789,b'Red Faction: Guerrilla',b'Red Dead Redemption',06/02/2009,05/18/2010,0
393,1531,5286,b'Blue Toad Murder Files',b'Blue Toad Murder Files: The Mysteries of Little Riddle',03/25/2010,01/01/2009,0
394,1016,5485,b'Rugby World Cup 2011',b'2014 FIFA World Cup Brazil',09/01/2011,04/17/2014,0
395,708,1692,b'Mass Effect 2',b'Mass Effect 3: Groundside Resistance Pack',01/26/2010,10/16/2012,0
396,2115,3991,b'MLB 10: The Show',b'MLB 08: The Show',03/02/2010,03/04/2008,0
397,3451,4205,b'Raving Rabbids - Party Collection',b'Raving Rabbits Party Collection',08/27/2010,04/15/2013,0
398,3594,2629,b'The Beatles: Rock Band',b'Band Hero',09/09/2009,11/03/2009,0
399,1480,2041,b'Batman: Arkham Asylum: Game of the Year Edition',b'Batman: Arkham City - Arkham City Skins Pack',05/10/2010,12/06/2011,0
400,519,5462,b'Halo 3 Limited Edition',b'Halo: Reach (Legendary Edition)',09/25/2007,09/14/2010,0
401,2016,2852,"b""Lightning Returns:Final Fantasy XIII Collector's Edition""",b'Final Fantasy X | X-2 HD Remaster (Limited Edition)',02/11/2014,03/18/2014,0
402,387,6467,b'Eragon',b'Eragon',11/14/2006,11/14/2006,1
403,891,5848,b'Penny Arcade Adventures: Episode Two',b'Xbox Live Arcade Compilation Disc',10/29/2008,01/01/2007,0
404,3021,3919,b'Disney Sing It: Party Hits',b'Disney Infinity: Wreck-it Ralph',,11/22/2013,0
405,462,5459,b'Front Mission Evolved',b'Halo: Combat Evolved',09/28/2010,12/04/2007,0
406,2802,3472,b'WRC: FIA World Rally Championship',b'SBK X: Superbike World Championship',03/29/2011,05/21/2010,0
407,1371,5299,b'WWE SmackDown vs. Raw 2008',b'PES 2008: Pro Evolution Soccer',11/13/2007,03/11/2008,0
408,2509,519,b'SingStar Motown',b'SingStar Queen',09/18/2009,03/20/2009,0
409,184,1661,b'Call of Duty: Ghosts',b'Call of Duty 2',11/05/2013,11/22/2005,0
410,3137,5255,b'Guitar Hero: Smash Hits',b'Hanjuku Hero',06/16/2009,10/30/2007,0
411,2476,1224,b'Sharin no Kuni," Himawari no Shoujo'",b'Aquanaut no Ky\xc5\xabjitsu 2',02/28/2013,0
412,606,5388,b'Kinect Sports',b'Fruit Ninja Kinect: Flower Power',11/04/2010,11/14/2012,0
413,2144,2171,b'MUD: FIM Motocross World Championship',b'Pac-Man: Championship Edition',02/26/2013,12/01/2010,0
414,636,1375,b'LEGO Indiana Jones: The Original Adventures',b'LEGO Pirates of the Caribbean: The Video Game',06/03/2008,05/10/2011,0
415,703,5576,b'Marvel vs. Capcom 3: Fate of Two Worlds (Special Edition)',b'Ultimate Marvel vs. Capcom 3',02/15/2011,11/15/2011,0
416,1632,3828,"b""Dante's Inferno""","b""Dante's Inferno (Death Edition)""",02/09/2010,02/05/2010,1
417,3044,5739,b'Dream Pinball 3D',b'Pinball Hall of Fame: The Gottlieb Collection',06/04/2008,12/15/2006,0
418,80,3069,b'Batman: Arkham Asylum: Game of the Year Edition',b'Batman: Arkham City - Robin Bundle Pack',05/11/2010,11/22/2011,0
419,1030,5834,b'Samurai Warriors 2',b'Dynasty Warriors: Strikeforce',09/20/2006,10/01/2009,0
420,1683,178,b'Diablo III Reaper of Souls: Ultimate Evil Edition',b'Resident Evil 6 Anthology',08/19/2014,10/02/2012,0
421,2130,3404,b'Monster World IV',b'The Elder Scrolls IV: Shivering Isles',05/22/2012,11/20/2007,0
422,2095,6630,b'Metal Gear Solid HD Collection',b'Metal Gear Solid HD Edition (Konami Style Premium Package)',11/08/2011,11/23/2011,1
423,2459,3480,b'Section 8: Prejudice',b'Section 8',07/26/2011,03/25/2010,0
424,385,1377,b'Enemy Territory: Quake Wars',b'LEGO Star Wars III: The Clone Wars',05/27/2008,03/24/2010,0
425,256,577,b'Dance Dance Revolution',b'Deus Ex: Human Revolution - Explosive Mission Pack',04/12/2011,09/28/2011,0
426,1695,1828,b'Disney Sing It: High School Musical 3: Senior Year',b'Disney Infinity: Wreck-it Ralph Toy Box Pack',02/17/2009,04/01/2014,0
427,973,2477,b'Renegade Ops',b'Call of Duty: Black Ops II - Cyborg Personalization Pack',09/14/2011,05/29/2013,0
428,3683,6605,b'Wacky World of Sports',b'EA SPORTS Active',09/22/2009,05/19/2009,0
429,1104,3144,b'Sonic the Hedgehog 4: Episode 1',b'Call of Duty: World at War - Map Pack 1',10/13/2010,03/19/2009,0
430,3526,5191,b'Skylanders Giants',"b""Skylanders: Spyro's Adventure - Zook""",10/21/2012,03/21/2012,0
431,1269,4301,"b""Tomb Raider Survival/Collector's Edition""",b'Lara Croft Tomb Raider: Legend',03/05/2013,04/11/2006,0
432,188,3599,b'Call of Juarez',b'Call of Juarez: Gunslinger',06/05/2007,05/22/2013,0
433,2549,1904,b'Sodium One',b'One Piece: Pirate Warriors',12/17/2009,03/01/2012,0
434,2412,183,b'Rocketmen: Axis of Evil',b'Resident Evil: Operation Raccoon City',03/06/2008,03/20/2012,0
435,920,4251,b'Pro Evolution Soccer 2010',b'FIFA Soccer 06',11/03/2009,11/16/2005,0
436,1564,3555,b'Call of Duty 4: Modern Warfare',b'Call of Duty: Modern Warfare 2 (Hardened Edition)',11/06/2007,11/10/2009,0
437,2869,4757,b'Around the World in 50 Games',b'Pong Toss: Frat Party Games',10/14/2010,07/28/2008,0
438,1498,2217,b'Ben 10: Omniverse',b'Mega Man 10',11/13/2012,03/11/2010,0
439,2293,1557,b'Prince of Persia: The Forgotten Sands',b'Prince of Persia (Limited Edition)',05/18/2010,12/04/2008,0
440,2450,2181,b'SBK-09 Superbike World Championship',b'PDC World Championship Darts 2008',06/18/2010,07/04/2012,0
441,3437,1209,b'Pro Evolution Soccer 2011',b'FIFA Soccer 08',10/28/2010,09/28/2007,0
442,3374,4765,b'New Play Control!: Mario Power Tennis',b'Power Eleven',,02/26/2008,0
443,597,2488,b'Karaoke Revolution Presents: American Idol Encore 2',b'Call of Duty: Black Ops II - South American Flags of the World Calling Card Pack',11/18/2008,03/13/2013,0
444,3124,4890,b'Great Party Games',b'World Party Games',06/11/2010,08/20/2009,0
445,1807,223,b'Final Fight: Double Impact',b'Final Fantasy XIII-2: Snow - Perpetual Battlefield',04/15/2010,05/15/2012,0
446,2417,3564,b'Rockstar Games Collection: Edition 1',b'Call of Duty: MW3 - Content Pack 1',10/30/2012,04/19/2012,0
447,2164,2834,b'NASCAR: Unleashed',b'Star Wars: The Force Unleashed - Jedi Temple Mission Pack',11/01/2011,12/11/2008,0
448,837,1103,b'Need for Speed: The Run',b'Need for Speed: Most Wanted',11/15/2011,11/22/2005,0
449,402,4971,b'Fable Anniversary',"b""Fable III (Limited Collector's Edition)""",02/04/2014,10/26/2010,0
450,2368,175,b'Resident Evil 6',b'Resident Evil 5 (Limited Edition)',10/02/2012,03/13/2009,0
451,1204,1483,b'The King of Fighters XIII',b'Lightning Returns: Final Fantasy XIII - The Samurai Collection',11/22/2011,01/28/2014,0
452,2002,657,b'LEGO Indiana Jones 2: The Adventure Continues',b'LEGO Harry Potter: Years 1-4',11/17/2009,06/29/2010,0
453,1271,1177,b'Tomb Raider: The Final Hours Edition',b'Tomb Raider: 1939 Multiplayer Map Pack',03/05/2013,04/02/2013,0
454,174,2879,"b""Cabela's Outdoor Adventures""",b'The Fancy Pants Adventures',09/09/2009,04/20/2011,0
455,604,3286,b'Kinect Rush: A Disney Pixar Adventure',"b""A Bomb's Way""",03/20/2012,04/03/2009,0
456,1830,221,b'Genji: Days of the Blade',"b""Final Fantasy XIII-2: Serah's Weapon - Genji Bow""",11/13/2006,03/06/2012,0
457,2736,3217,b'Transformers: War for Cybertron',b'God of War Saga',06/22/2010,08/28/2012,0
