sephora.id:INTEGER,sephora.variation_value:TEXT,sephora.display_name:TEXT,sephora.brand_name:TEXT,sephora.sku_size:TEXT,sephora.list_price:TEXT,sephora.product_url:TEXT
1059,6 oz,Set It Free®,DevaCurl,6,20,/set-it-free-P378327
1060,12 oz,Mist-er Right®,DevaCurl,12,20,/mist-er-right-P378323
1061,,Low-Poo®,DevaCurl,12,20,/low-poo-P378322
1062,,Frizz-Free Volumizing Foam,DevaCurl,7.5,26,/frizz-free-volumizing-foam-P378319
1063,,DevaClips,DevaCurl,8 Clips,14,/devaclips-P379504
1064,5 oz,No-Poo™ Quick Cleanser,DevaCurl,5,20,/no-poo-quick-cleanser-P378325
1065,10 oz,Flexible-Hold Hair Spray,DevaCurl,10,25,/flexible-hold-hair-spray-P378318
1066,,No-Comb Detangling Spray,DevaCurl,8,20,/no-comb-detangling-spray-P387257
1067,,B'Leave-In,DevaCurl,6,20,/b-leave-in-P378316
1068,,Spray Gel,DevaCurl,8,20,/spray-gel-P378329
1069,,Shine Spray,DevaCurl,4,25,/shine-spray-P382958
1070,1.7 oz Eau de Parfum Spray,DKNY Red Delicous ,DKNY,1.7,68,/null-P390028
1071,1.7 oz Eau de Parfum Spray,Diane Eau de Parfum,Diane von Furstenberg,1.7,85,/diane-eau-de-parfum-P296235
1072,1.7 oz Eau de Toilette Spray,Diane Eau de Toilette,Diane von Furstenberg,1.7,65,/diane-eau-de-toilette-P296236
1073,2.5 oz Eau de Toilette Spray,Only The Brave,Diesel,2.5,67.5,/only-the-brave-P234436
1074,Medium 003,Diorskin Nude BB Creme,Dior,1,45,/diorskin-nude-bb-creme-P377753
1075,Pink,Dior Addict Lip Glow,Dior,0.12,33,/dior-addict-lip-glow-P236816
1076,Light Beige 200,Diorskin Airflash Spray Foundation,Dior,2.3,62,/diorskin-airflash-spray-foundation-P104914
1077,Catwalk Black,Diorshow Mascara,Dior,0.38,25,/diorshow-mascara-P40404
1078,Ivory 010,Diorskin Forever Flawless Perfection Wear Makeup,Dior,1,49,/diorskin-forever-flawless-perfection-wear-makeup-P297405
1079,Trafalgar 876,5-Colour Eyeshadow,Dior,0.21,60,/5-colour-eyeshadow-P280400
1080,1.7 oz Eau de Parfum Spray,J'adore Eau de Parfum,Dior,1.7,90,/j-adore-eau-de-parfum-P6430
1081,,Diorshow Iconic Overcurl Mascara,Dior,0.33,28.5,/diorshow-iconic-overcurl-mascara-P377821
1082,Lip Maximizer ,Dior Addict Lip Maximizer High Volume Lip Plumper,Dior,0.2,33,/lip-maximizer-P186805
1083,,Crème de Rose Smoothing Plumping Lip Balm,Dior,0.25,27,/creme-de-rose-smoothing-plumping-lip-balm-P254222
1084,010 Ivory,Star Fluid Foundation SPF 30,Dior,1,50,/star-fluid-foundation-spf-30-P388776
1085,Ivory 010,Diorskin Forever Compact Flawless Perfection Fusion Wear Makeup SPF 25,Dior,0.35,50,/diorskin-forever-compact-flawless-perfection-fusion-wear-makeup-spf-25-P297404
1086,Ivory 010,Diorskin Nude Skin-Glowing Makeup SPF 15,Dior,1,49,/diorskin-nude-skin-glowing-makeup-spf-15-P230421
1087,Catwalk Black,Diorshow Waterproof Mascara,Dior,0.38,25,/diorshow-waterproof-mascara-P99901
1088,754 Pandore,Dior Addict Fluid Stick,Dior,0.18,35,/dior-addict-fluid-stick-P386291
1089,002 Beige,Star Concealer,Dior,0.20,36,/star-concealer-P388775
1090,Noir,Diorshow Iconic Mascara,Dior,0.33,28.5,/diorshow-iconic-mascara-P218791
1091,1.7 oz Eau de Toilette Spray,Miss Dior Blooming Bouquet,Dior,1.7,75,/miss-dior-blooming-bouquet-P385477
1092,1 oz,Capture Totale One Essential,Dior,1,100,/capture-totale-one-essential-P260408
1093,Mirage 338,Dior Vernis Gel Shine and Long Wear Nail Lacquer,Dior,0.33,25,/dior-vernis-gel-shine-long-wear-nail-lacquer-P386289
1094,,Nail Glow,Dior,0.33,25,/nail-glow-P379408
1095,Darling 775 ,Rouge Dior Couture Colour Voluptuous Care Lipstick,Dior,0.12,35,/rouge-dior-couture-colour-voluptuous-care-lipstick-P382449
1096,Kohl Black 099,Diorshow Black Out Mascara,Dior,0.33,25,/diorshow-black-out-mascara-P175208
1097,Urban 178,Dior Addict Lipstick,Dior,0.12,33,/dior-addict-lipstick-P282501
1098,1.7 oz Eau de Parfum Spray,Miss Dior Eau de Parfum,Dior,1.7,90,/miss-dior-eau-de-parfum-P133401
1099,,Capture Totale Intensive Night Restorative Crème,Dior,2.1,170,/capture-totale-intensive-night-restorative-creme-P375354
1100,Light Beige 020,Capture Totale Foundation,Dior,1,82,/capture-totale-foundation-P219305
1101,788 Fleur Bleue,Rouge Baume,Dior,0.11,35,/rouge-baume-P390646
1102,,Hydra Life Close-Up Pore Reducing Pro-Youth Moisturizer,Dior,1.7,75,/hydra-life-close-up-pore-reducing-pro-youth-moisturizer-P387648
1103,973 Night Fantasy ,Dior Addict Gloss,Dior,0.21,29.5,/dior-addict-gloss-P378387
1104,Lucky 536,Dior Addict Extreme Lipstick,Dior,0.12,33,/dior-addict-extreme-lipstick-P305700
1105,1.7 oz Eau de Toilette Spray,Hypnotic Poison,Dior,1.7,75,/hypnotic-poison-P4484
1106,02 Golden Peach,Hydra Life BB Creme Broad Spectrum SPF 30,Dior,1.7,56,/hydra-life-bb-creme-broad-spectrum-spf-30-P308100
1107,Trinidad Black 094,Crayon Eyeliner - Waterproof,Dior,0.04,29,/crayon-eyeliner-waterproof-P99902
1108,Black,Diorshow Extase Mascara,Dior,0.33,28.5,/diorshow-extase-mascara-P252504
1109,,Capture Totale Multi-Perfection Crème,Dior,2.1,160,/capture-totale-multi-perfection-creme-P377574
1110,Slate,DiorShow Liner Waterproof,Dior,0.01,29,/diorshow-liner-waterproof-P296029
1111,1.7 oz Eau de Toilette Spray,Dior Homme Eau For Men,Dior,1.7,62,/dior-homme-eau-for-men-P388511
1112,Rose 001,Diorskin Nude Shimmer Instant Illuminating Powder,Dior,0.35,56,/diorskin-nude-shimmer-instant-illuminating-powder-P386288
1113,,Airflash Matte Touch,Dior,1.7,49,/airflash-matte-touch-P381703
1114,,Airflash CC Primer - Radiance Booster Color Correcting Primer,Dior,2.4,49,/airflash-cc-primer-radiance-booster-color-correcting-primer-P381702
1115,,Hydra Life BB Eye Crème ,Dior,0.2,45,/hydra-life-bb-eye-creme-P378900
1116,Extreme Black,Diorshow Iconic Waterproof Mascara,Dior,0.27,28.5,/diorshow-iconic-waterproof-mascara-P236814
1117,001 Petal,Rosy Glow Healthy Glow Awakening Blush,Dior,0.26,44,/rosy-glow-healthy-glow-awakening-blush-P303803
1118,,Capture Totale Dreamskin,Dior,1,110,/capture-totale-dream-skin-P384786
1119,1.7 oz Eau de Toilette Spray,Miss Dior Eau de Toilette,Dior,1.7,75,/miss-dior-cherie-eau-de-toilette-P253209
1120,Universal,Diorskin Pore Minimizer,Dior,1,42,/diorskin-pore-minimizer-P384634
1121,Medium Beige 30,Diorskin Nude Compact,Dior,0.35,50,/diorskin-nude-compact-P379047
1122,,Hydra Life Pro-Youth Silk Crème,Dior,1.7,56,/hydra-life-pro-youth-silk-creme-P259404
1123,1.7 oz Eau de Parfum Spray,Golden Delicious,DKNY,1.7,68,/golden-delicious-P291900
1124,1.7 oz Eau de Parfum Spray,Be Delicious,DKNY,1.7,68,/be-delicious-P79615
1125,1.7 oz Eau de Parfum Spray,DKNY MYNY,DKNY,1.7,68,/dkny-myny-P387552
1126,1 oz Eau de Parfum Spray,Be Delicious Fresh Blossom,DKNY,1,24,/be-delicious-fresh-blossom-P232320
1127,0.34 oz Eau de Parfum Rollerball,DKNY Be Delicious Rollerball,DKNY,0.34,24,/dkny-be-delicious-rollerball-P387624
1128,1 oz Scent Spray,pureDKNY,DKNY,1,45,/puredkny-P270405
1129,0.34 oz Eau de Parfum Rollerball,DKNY MYNY Rollerball,DKNY,0.34,24,/dkny-myny-rollerball-P387550
1130,1.7 oz Eau de Toilette Spray,Be Delicious Skin,DKNY,1.7,60,/be-delicious-skin-P382926
1131,1.6 oz Eau de Toilette Spray,Light Blue,Dolce & Gabbana,1.6,72,/light-blue-P12420
1132,1.6 oz Eau de Parfum Spray,Dolce,Dolce & Gabbana,1.6,90,/dolce-P385301
1133,1.6 oz Eau de Parfum Spray,The One,Dolce & Gabbana,1.6,86,/the-one-P195321
1134,1.7 oz Eau de Toilette Spray,The One For Men,Dolce & Gabbana,1.7,62,/the-one-for-men-P224300
1135,Daring 310,The Lipstick Classic Cream Lipstick ,Dolce & Gabbana,0.12,33,/the-lipstick-classic-cream-lipstick-P376840
1136,0.25 oz Eau de Toilette Spray,Light Blue,Dolce & Gabbana,0.25,25,/light-blue-travel-spray-P377485
1137,1.6 oz Eau de Parfum Spray,Pour Femme,Dolce & Gabbana,1.6,86,/pour-femme-P376951
1138,1.6 oz Eau de Parfum Spray,Desire by Dolce&Gabbana,Dolce & Gabbana,1.6,93,/the-one-desire-P378047
1139,Natural Beige 120,The Foundation Perfect Matte Liquid Foundation Broad Spectrum SPF 20,Dolce & Gabbana,1.014,67,/the-foundation-perfect-matte-liquid-foundation-broad-spectrum-spf-20-P378213
1140,2.5 oz Eau de Toilette Spray,Light Blue Pour Homme,Dolce & Gabbana,2.5,62,/light-blue-pour-homme-P186402
1141,Warm 100,The Foundation Perfect Finish Powder Foundation,Dolce & Gabbana,0.53,60,/the-foundation-perfect-finish-powder-foundation-P377163
1142,Darling 10,Passion Duo Gloss Fusion Lipstick,Dolce & Gabbana,0.10,36,/passion-duo-gloss-fusion-lipstick-P376842
1143,0.25 oz Eau de Toilette Spray,Dolce Spray,Dolce & Gabbana,0.25,29,/dolce-rollerball-P386297
1144,2.5 oz Eau de Toilette Spray,Pour Homme,Dolce & Gabbana,2.5,62,/pour-homme-P0901
1145,Attractive Monica 140,Monica Voluptuous Lipstick,Dolce & Gabbana,0.12,34,/monica-voluptuous-lipstick-P376867
1146,Warm Rose 130,The Foundation Perfect Luminous Liquid Foundation,Dolce & Gabbana,1,60,/the-foundation-perfect-luminous-liquid-foundation-P377165
1147,0.20 oz Eau de Parfum Rollerball,The One,Dolce & Gabbana,0.20,27,/the-one-travel-spray-P377513
1148,Acqua 10,The Lipgloss Ultra-Shine Lipgloss,Dolce & Gabbana,0.16,31,/the-lipgloss-ultra-shine-lipgloss-P376869
1149,,Light Blue Cream,Dolce & Gabbana,6.7,51,/light-blue-cream-P380592
1150,Rose Petal,The Nail Lacquer,Dolce & Gabbana,0.37,25,/the-nail-lacquer-P377582
1151,Raspberry 65,The Lipgloss Intense Colour Lipgloss,Dolce & Gabbana,0.16,31,/the-lipgloss-intense-colour-lipgloss-P378276
1152,Fabulous 155,The Eyeshadow Smooth Eye Colour Quad,Dolce & Gabbana,0.16,60,/the-eyeshadow-smooth-eye-colour-quad-P376900
1153,1.6 oz Eau de Parfum Spray ,Pour Femme Intense,Dolce & Gabbana,1.6,93,/pour-femme-intense-P382515
1154,1.7 oz Eau de Toilette Spray,The One Sport,Dolce & Gabbana,1.7,62,/the-one-sport-P308708
1155,Deodorant,The One For Men Deodorant,Dolce & Gabbana,2.4,27,/the-one-for-men-deodorant-P306876
1156,Black Intense 1,Glam Liner Intense Liquid Eyeliner,Dolce & Gabbana,0.08,34.5,/glam-liner-intense-liquid-eyeliner-P377433
1157,0.2 oz Eau de Parfum Rollerball,Pour Femme Rollerball,Dolce & Gabbana,0.2,27,/pour-femme-rollerball-P377775
1158,Peach 20,The Blush Luminous Cheek Colour,Dolce & Gabbana,0.17,45,/the-blush-luminous-cheek-colour-P376895
1159,Fascination 165,The Lipstick Shine Lipstick,Dolce & Gabbana,0.12,33,/the-lipstick-shine-lipstick-P376841
1160,Eva 3,The Illuminator Glow Illuminating Powder,Dolce & Gabbana,0.53,51,/the-illuminator-glow-illuminating-powder-P376896
1161,Natural Glow 100,The Foundation Perfect Finish Creamy Foundation,Dolce & Gabbana,1,66.5,/the-foundation-perfect-finish-creamy-foundation-P377164
1162,3.3 oz Eau de Toilette Spray,Wrapped & Ready to Gift Light Blue,Dolce & Gabbana,3.3,89,/light-blue-pre-wrap-gift-P383409
1163,Gold Dust,Perfect Mono Cream Eye Colour,Dolce & Gabbana,0.14,36,/perfect-mono-cream-eye-colour-P390321
1164,Rubino,Classic Cream Lipstick - Sicilian Jewels Collection,Dolce & Gabbana,0.12,36,/classic-cream-lipstick-sicilian-jewels-collection-P383316
1165,Sunshine 30,The Bronzer Glow Bronzing Powder,Dolce & Gabbana,0.53,51,/the-bronzer-glow-bronzing-powder-P376897
1166,Soft Blush 3,The Pressed Powder,Dolce & Gabbana,0.52,60,/the-pressed-powder-P385545
1167,Emerald 7,The Eyeliner Crayon Intense,Dolce & Gabbana,0.054,30,/the-eyeliner-crayon-intense-P377171
1168,,Nourish,Earth's Nectar,12,23.5,/nourish-P389143
1169,1.6 oz Eau de Parfum Spray,Wrapped & Ready to Gift The One,Dolce & Gabbana,1.6,82,/the-one-pre-wrap-gift-P383408
1170,True Black 1,The Khol Pencil Intense Khol Eye Crayon,Dolce & Gabbana,0.072,30,/the-khol-pencil-intense-khol-eye-crayon-P377170
1171,Creamy 3,Perfect Matte Concealer,Dolce & Gabbana,0.16,41,/perfect-matte-concealer-P380837
1172,Deodorant,Light Blue Pour Homme Deodorant,Dolce & Gabbana,2.4,27,/light-blue-pour-homme-deodorant-P306859
1173,Black 1,Secret Eyes Lengthening Mascara,Dolce & Gabbana,0.23,30.5,/secret-eyes-lengthening-mascara-P377174
1174,Cinnamon 80,The Eyeshadow Smooth Eye Colour Duo,Dolce & Gabbana,0.17,43,/the-eyeshadow-smooth-eye-colour-duo-P376898
1175,Black 1,The Mascara Volumized Lashes,Dolce & Gabbana,0.1,30.5,/the-mascara-volumized-lashes-P377175
1176,1.6 oz Eau de Parfum Spray,Wrapped & Ready to Gift Pour Femme,Dolce & Gabbana,1.6,82,/pour-femme-pre-wrap-gift-P383411
1177,Ruby 3,The Lipliner Precision Lipliner,Dolce & Gabbana,0.666,30,/the-lipliner-precision-lipliner-P376843
1178,,The Top Lacquer Matte Nail Coat,Dolce & Gabbana,0.37,25,/the-top-lacquer-matte-nail-coat-P382085
1179,2,The Concealer Perfect Finish Concealer,Dolce & Gabbana,0.1,38,/the-concealer-perfect-finish-concealer-P377162
1180,,The One Body Lotion,Dolce & Gabbana,6.7,50,/the-one-body-lotion-P380603
1181,1.6 oz Eau de Toilette Spray,Light Blue Escape to Panarea Pour Femme,Dolce & Gabbana,1.6,75,/light-blue-escape-to-panarea-pour-femme-P385496
1182,Black Intense 1,Intenseyes Black Intensity Mascara,Dolce & Gabbana,0.23,32,/intenseyes-black-intensity-mascara-P377432
1183,,The Base Lacquer Protective Base Nail Coat,Dolce & Gabbana,0.37,24,/the-base-lacquer-protective-base-nail-coat-P386812
1184,,The One Shower Gel,Dolce & Gabbana,6.7,41,/the-one-shower-gel-P380602
1185,,The Top Lacquer High Shine Nail Coat,Dolce & Gabbana,0.37,24,/the-top-lacquer-high-shine-nail-coat-P382087
1186,1.7 oz,Cashmere Mist Deodorant,Donna Karan,1.7,24,/cashmere-mist-deodorant-P380541
1187,1.7 oz Eau de Parfum Spray,Cashmere Mist Eau de Parfum,Donna Karan,1.7,85,/cashmere-mist-eau-de-parfum-P41391
1188,6.7 oz,Cashmere Mist Body Lotion,Donna Karan,6.7,50,/cashmere-mist-body-lotion-P380540
1189,0.27 oz Eau de Parfum Rollerball,Cashmere Mist Rollerball,Donna Karan,0.27,25,/cashmere-mist-rollerball-P387605
1190,3.4 oz Eau de Parfum Spray,Liquid Cashmere,Donna Karan,3.4,105,/liquid-cashmere-P388645
1191,,Cashmere Mist Body Creme ,Donna Karan,6.7,52,/cashmere-mist-body-creme-P380539
1192,1.7 oz Eau de Toilette Spray,Cashmere Mist Eau de Toilette,Donna Karan,1.7,72,/cashmere-mist-P41378
1193,Body Lotion,Liquid Cashmere Body Lotion,Donna Karan,6.7,50,/liquid-cashmere-body-lotion-P388643
1194,2 oz,microdermabrasion skin exfoliant ,Dr. Brandt Skincare,2,78,/microdermabrasion-skin-exfoliant-P45503
1195,,Laser FX Perfect Serum,Dr. Brandt Skincare,1,78,/laser-fx-perfect-serum-P388521
1196,1 oz,pores no more® pore refiner primer,Dr. Brandt Skincare,1,45,/pores-no-more-pore-refiner-primer-P139005
1197,,Laser FX Lift Serum,Dr. Brandt Skincare,1,78,/laser-fx-lift-serum-P388522
1198,,glow by dr. brandt™ overnight resurfacing serum,Dr. Brandt Skincare,1.7,85,/glow-by-dr-brandt-overnight-resurfacing-serum-P302937
1199,,glow by dr. brandt™ revitalizing retinol eye cream,Dr. Brandt Skincare,0.5,55,/glow-by-dr-brandt-revitalizing-retinol-eye-cream-P377124
1200,,Do Not Age with Dr. Brandt Transforming Pearl Serum,Dr. Brandt Skincare,1.35,150,/do-not-age-with-dr-brandt-transforming-pearl-serum-P383054
1201,,Do Not Age with Dr. Brandt Triple Peptide Eye Cream,Dr. Brandt Skincare,0.5,80,/do-not-age-with-dr-brandt-triple-peptide-eye-cream-P383053
1202,,crease release®,Dr. Brandt Skincare,0.5,78,/crease-release-P55418
1203,,Xtend Your Youth Face Cream,Dr. Brandt Skincare,1.7,59,/xtend-your-youth-face-cream-P383057
1204,,Do Not Age with Dr. Brandt Firming Neck Cream,Dr. Brandt Skincare,1.7,65,/do-not-age-with-dr-brandt-firming-neck-cream-P383052
1205,light medium to medium tan/ warm undertones,Flexitone™ BB Cream,Dr. Brandt Skincare,1,39,/flexitone-bb-cream-P308605
1206,,Do Not Age with Dr. Brandt Time Reversing Cream,Dr. Brandt Skincare,1.7,130,/do-not-age-with-dr-brandt-time-reversing-cream-P383051
1207,,pores no more®  anti-aging mattifying lotion,Dr. Brandt Skincare,1.7,60,/pores-no-more-anti-aging-mattifying-lotion-P254204
1208,,glow by dr. brandt™  ruby crystal retinol hydracrème,Dr. Brandt Skincare,1.7,65,/glow-by-dr-brandt-ruby-crystal-retinol-hydracreme-P302938
1209,,pores no more® pore effect refining cream,Dr. Brandt Skincare,1.7,55,/pores-no-more-pore-effect-refining-cream-P9527
1210,,pores no more® cleanser,Dr. Brandt Skincare,3.5,35,/pores-no-more-cleanser-P9523
1211,,dark circles away™ collagen eye serum,Dr. Brandt Skincare,0.5,55,/dark-circles-away-collagen-eye-serum-P289000
1212,,pores no more® vacuum cleaner™,Dr. Brandt Skincare,1,45,/pores-no-more-vacuum-cleaner-P236007
1213,,Laser FX Bright Serum,Dr. Brandt Skincare,1,78,/laser-fx-bright-serum-P388520
1214,,blemishes no more® intensolution®,Dr. Brandt Skincare,4,35,/blemishes-no-more-intensolution-P236010
1215,,pores no more® poresolution™ clarifying lotion,Dr. Brandt Skincare,4.7,35,/pores-no-more-poresolution-clarifying-lotion-P293516
1216,,dr brandt® collagen booster™,Dr. Brandt Skincare,1,78,/dr-brandt-collagen-booster-P251922
1217,warm peachy beige,cc glow Broad Spectrum SPF 30,Dr. Brandt Skincare,1,39,/cc-glow-broad-spectrum-spf-30-P382291
1218,,dark spots no more™  serum concentrée,Dr. Brandt Skincare,1,55,/dark-spots-no-more-serum-concentree-P374573
1219,,blemishes no more® oil-free hydrator,Dr. Brandt Skincare,1.7,35,/blemishes-no-more-oil-free-hydrator-P236009
1220,,Xtend Your Youth Dual Fusion Water,Dr. Brandt Skincare,6.7,32,/xtend-your-youth-dual-fusion-water-P383055
1221,,Xtend Your Youth Eye Cream,Dr. Brandt Skincare,0.5,45,/xtend-your-youth-eye-cream-P383056
1222,,pore thing™ with EVERMAT™ t-zone pore tightener,Dr. Brandt Skincare,1,45,/pore-thing-with-evermat-t-zone-pore-tightener-P296407
1223,,Xtend Your Youth Lip Filler & Volumizer,Dr. Brandt Skincare,0.26,29,/xtend-your-youth-lip-filler-volumizer-P387526
1224,,glow by dr. brandt™ ruby laser technology kit,Dr. Brandt Skincare,2 x 0.5 oz ,65,/glow-by-dr-brandt-ruby-laser-technology-kit-P302939
1225,Light to Medium,BB Matte With Signature Shinerase™ ,Dr. Brandt Skincare,1,39,/bb-matte-with-signature-shinerase-P378343
1226,5 Treatments,Alpha Beta® Peel Extra Strength Formula ,Dr. Dennis Gross Skincare,5 Treatments,16,/alpha-beta-peel-extra-strength-formula-P269122
1227,16 Treatments (Step 1) + 0.5 oz step 2,Alpha Beta® MediSpa Peel ,Dr. Dennis Gross Skincare,16 Treatments (Step 1) + 0.5 oz step 2,110,/alpha-beta-medi-spa-peel-P388621
1228,5 Treatments,Alpha Beta® Peel Original Formula,Dr. Dennis Gross Skincare,5 Treatments,16,/alpha-beta-peel-original-formula-P377533
1229,,Ferulic + Retinol Triple Correction Eye Serum,Dr. Dennis Gross Skincare,0.5,68,/ferulic-retinol-triple-correction-eye-serum-P377531
1230,,Steamer Solutions,Dr. Dennis Gross Skincare,1 Unit,125,/steamer-solutions-P377923
1231,5 Glow  + 1 Extra Strength ,Alpha Beta® Glow Pads,Dr. Dennis Gross Skincare,5 Glow  + 1 Extra Strength ,12,/alpha-beta-glow-pads-P282415
1232,1 oz,Ferulic Acid + Retinol Brightening Solution,Dr. Dennis Gross Skincare,1,88,/ferulic-acid-retinol-brightening-solution-P375269
1233,,Ferulic & Retinol Anti-Aging Moisturizer,Dr. Dennis Gross Skincare,1.7,72,/ferulic-retinol-anti-aging-moisturizer-P384536
1234,,Hydra-Pure™ Vitamin C Brightening Serum,Dr. Dennis Gross Skincare,1,95,/hydra-pure-vitamin-c-brightening-serum-P184113
1235,,One Step Acne Eliminating Pads,Dr. Dennis Gross Skincare,45 Treatments,38,/one-step-acne-eliminating-pads-P381405
1236,,Age Erase Moisture With Mega 10 Plus,Dr. Dennis Gross Skincare,1.7,48,/age-erase-moisture-with-mega-10-plus-P375669
1237,,Clinical Concentrate Radiance Booster™ ,Dr. Dennis Gross Skincare,1,68,/clinical-concentrate-radiance-booster-P385269
1238,,Clinical Concentrate Hydration Booster,Dr. Dennis Gross Skincare,0.5,36,/clinical-concentrate-hydration-booster-P385773
1239,Light to Medium,CC Cream SPF 18,Dr. Dennis Gross Skincare,1,36,/cc-cream-spf-18-P379410
1240,,Hydra-Pure® Oil-Free Moisture with Chelating Complex™,Dr. Dennis Gross Skincare,1,78,/hydra-pure-oil-free-moisture-P140620
1241,,Hyaluronic Moisture Cushion,Dr. Dennis Gross Skincare,1.7,58,/hyaluronic-moisture-cushion-P385775
1242,,Trifix™ Oil-Free Hydrating Moisturizer,Dr. Dennis Gross Skincare,1.7,35,/trifix-oil-free-hydrating-moisturizer-P291811
1243,,Active Vitamin D Serum-Oil,Dr. Dennis Gross Skincare,1,65,/active-vitamin-d-serum-oil-P302300
1244,,Alpha Beta® Glow Pad™ For Body With Active Vitamin D,Dr. Dennis Gross Skincare,8 Towelettes,45,/alpha-beta-glow-pad-for-body-with-active-vitamin-d-P309104
1245,,Hydra-Pure® Firming Eye Cream,Dr. Dennis Gross Skincare,0.5,90,/hydra-pure-firming-eye-cream-P184115
1246,,Clinical Concentrate Purifying Booster,Dr. Dennis Gross Skincare,0.5,36,/clinical-concentrate-purifying-booster-P385772
1247,, All-In-One Cleansing Foam,Dr. Dennis Gross Skincare,5,36,/all-in-one-cleansing-foam-P280605
1248,,Hydra-Pure® Intense Moisture Cream with Chelating Complex™,Dr. Dennis Gross Skincare,1.7,125,/hydra-pure-intense-moisture-cream-P122308
1249,,All-In-One Cleanser With Toner,Dr. Dennis Gross Skincare,6,30,/all-in-one-cleanser-with-toner-P382292
1250,,Hydra-Pure® Antioxidant Firming Serum,Dr. Dennis Gross Skincare,1,95,/hydra-pure-antioxidant-firming-serum-P184114
1251,,Anti-Aging Scalp Serum,Dr. Dennis Gross Skincare,2,54,/anti-aging-scalp-serum-P379906
1252,,Ferulic + Retinol Eye Cream,Dr. Dennis Gross Skincare,0.5,68,/ferulic-retinol-eye-cream-P388622
1253,,Lift & Lighten Eye Cream,Dr. Dennis Gross Skincare,0.5,60,/lift-lighten-eye-cream-P78325
1254,,Root Resilience Strengthening Shampoo,Dr. Dennis Gross Skincare,8,42,/root-resilience-strengthening-shampoo-P381402
1255,,Sheer Mineral Sun Spray SPF 50,Dr. Dennis Gross Skincare,4,42,/sheer-mineral-sun-spray-spf-50-P385431
1256,,Root Resilience Nourishing Scalp Conditioner,Dr. Dennis Gross Skincare,6,38,/root-resilience-nourishing-scalp-conditioner-P381403
1257,,Alpha Beta®  Smoothing Body Towel,Dr. Dennis Gross Skincare,8 Treatments,36,/alpha-beta-smoothing-body-towel-P375410
1258,,All-Over Blemish Solution,Dr. Dennis Gross Skincare,1,42,/all-over-blemish-solution-P158531
1259,,Alpha Beta® Glotion for Body,Dr. Dennis Gross Skincare,5 oz ,38,/alpha-beta-glotion-for-body-P386313
1260,light to medium skin,Premium Beauty Balm SPF 45,Dr. Jart+,1.5,39,/premium-beauty-balm-spf-45-P285403
1261,,Water Fuse Water-Max Sleeping Mask,Dr. Jart+,1.75,48,/water-fuse-water-max-sleeping-mask-P374570
1262,1.5 oz,Black Label Detox BB Beauty Balm,Dr. Jart+,1.5,36,/black-label-detox-bb-beauty-balm-P374568
1263,5 x Single Use Masks,Pore Minimalist Mask,Dr. Jart+,5 x Single Use Masks,35,/pore-minimalist-mask-P386840
1264,fair to light skintones with neutral undertones,BB Dis-A-Pore Beauty Balm,Dr. Jart+,1.7,36,/bb-dis-a-pore-beauty-balm-P386116
1265,,Water Fuse Beauty Balm SPF 25 PA++,Dr. Jart+,1.7,34,/water-fuse-beauty-balm-spf-25-pa-P285402
1266,,Ceramidin™ Cream,Dr. Jart+,1.6,48,/ceramidin-cream-P382354
1267,,Ceramidin™ Liquid,Dr. Jart+,5,39,/ceramidin-liquid-P382355
1268,01 Light-Medium,BB Bounce Beauty Balm,Dr. Jart+,0.4,48,/bb-bounce-beauty-balm-P386115
1269,5 x Single Use 2-Step Patches,Blackhead Master Patch,Dr. Jart+,5 x Single Use 2-Step Patches,35,/blackhead-master-patch-P386839
1270,1.7 oz Eau de Parfum Spray,Joyful,Escada,1.7,68,/joyful-P388210
1271,,Premium Firming Sleeping Mask,Dr. Jart+,1.75,48,/premium-firming-sleeping-mask-P374571
1272,1 single-use mask ,Water Fuse Water-Full Hydrogel Mask,Dr. Jart+,1 single-use mask ,9,/water-fuse-water-full-hydrogel-mask-P296101
1273,,Premium Time Returning Cream,Dr. Jart+,1.7,58,/premium-time-returning-cream-P376755
1274,Light/Medium,CC Essence Balm,Dr. Jart+,0.42,42,/cc-essence-balm-P378192
1275,,PORE MEDIC Pore Minish Cleansing Bubble,Dr. Jart+,4.7,32,/pore-medic-pore-minish-cleansing-bubble-P385370
1276,,Water Fuse Water-Sure Gel,Dr. Jart+,1.7,38,/water-fuse-water-sure-gel-P376219
1277,,PORE MEDIC Pore Minish Primer,Dr. Jart+,1 oz ,32,/pore-medic-pore-minish-primer-P385324
1278,01 Light-Medium,Water Fuse Smart Gel BB,Dr. Jart+,1,36,/water-fuse-smart-gel-bb-P377560
1279,fair to light skin with neutral undertones,BB Radiance Beauty Balm,Dr. Jart+,1.5,42,/bb-radiance-beauty-balm-P386117
1280,,Black Label Detox O2 Cleansing Foam ,Dr. Jart+,3.5,24,/black-label-detox-o2-cleansing-foam-P376217
1281,,Pore Medic Pore Clear Mask,Dr. Jart+,0.9,6,/pore-medic-pore-clear-mask-P296100
1282,fair to light skin,V7 Beauty Balm,Dr. Jart+,1.3,36,/v7-beauty-balm-P376220
1283,,PORE MEDIC Pore Minish Mist,Dr. Jart+,4.7,30,/pore-medic-pore-minish-mist-P385321
1284,,Black Label Detox Pore Penetrator,Dr. Jart+,1,24,/black-label-detox-pore-penetrator-P374572
1285,,Premium Time Returning Serum,Dr. Jart+,1,54,/premium-time-returning-serum-P376222
