pairId:INTEGER,tableA.id:INTEGER,tableA.title,tableA.price:FLOAT,tableA.brand:TEXT,tableA.weight,tableA.size,tableB.id:INTEGER,tableB.title,tableB.price:FLOAT,tableB.description,tableB.variation_size,tableB.size
1875615,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1365,special k cereal bars blueberry  6-count (pack of 6),32.57,special k cereal,NA,6.0
1875660,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1410,special k bars cereal bars  blueberry  12 ea,12.99,special k bars,NA,NA
1875832,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1582,special k bars  chocolaty drizzle  9.3 ounce,-1.0,special k bars,9.3,NA
1875887,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1637,kellogg's special k red berries cereal 14.7 oz,9.95,kellogg's special k,14.7,NA
1875956,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1706,kellogg's special k chocolatey pretzel cereal bars  0.77 oz  12 count,-1.0,kellogg's special k,0.77,NA
1876109,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1859,kellogg's special k cereal bars food cereal bar speck str (pack of10),9.53,kellogg's special k,NA,NA
1876173,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,1923,kellogg's special k bars red berry (5x23g),7.19,kellogg's special k,NA,NA
1876282,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2032,kellogg's special k chocolate chip bars 5 x 20g,10.59,kellogg's special k,NA,NA
1876377,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2127,kellogg's special k red berry cereal bars 5 x 23g,9.48,kellogg's special k,NA,NA
1876459,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2209,kellogg's special k bars peach & apricot (5x23g),7.19,kellogg's special k,NA,NA
1876523,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2273,kellogg's special k chocolate & raspberry bars 5 x 22g,9.48,kellogg's special k,NA,NA
1876783,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2533,kellogg's  nutri-grain raspberry cereal bars  8 ct  10.4 oz,11.49,kellogg's  nutri-grain,10.4,NA
1876839,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2589,kellogg's special k protein meal bars  honey almond  6 ct,17.5,kellogg's special k,NA,NA
1876873,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2623,kellogg's special k cereal bars  strawberry  6 ct,10.86,kellogg's special k,NA,NA
1876968,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2718,kellogg's nutri-grain cereal bars  36 count,16.59,kellogg's nutri-grain cereal,NA,NA
1877174,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2924,kellogg's special k double milk chocolate cereal bars (6x20g),7.19,kellogg's special k,NA,NA
1877238,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,2988,kellogg's special k raspberry cheesecake cereal bars 4.6 oz. box = 6 bars (3 pack),12.5,kellogg's special k,4.6,NA
1877637,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,3387,kellogg's special k fruit crisps bars  blueberry  5 ct,4.99,kellogg's special k,NA,NA
1877665,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,3415,kellogg's special k cereal bars hazelnut & almond (5x21g),7.19,kellogg's special k,NA,NA
1877844,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,3594,kellogg's special k strawberry 35 cereal bars 28.4oz,21.9,kellogg's special k,28.4,NA
1877929,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,3679,kellogg's special k bars red berry (12x23g),15.49,kellogg's special k,NA,NA
1878005,451,kellogg's special k raspberry cheesecake cereal bars  6ct,2.78,Kellogg's Special K,NA,NA,3755,special k cereal  chocolatey delight  13.4 oz,8.97,special k cereal,13.4,NA
1891548,455,nabisco belvita blueberry breakfast biscuits  4 count  1.76 oz,-1.0,Nabisco,1.76,NA,638,belvita breakfast biscuits  blueberry breakfast biscuits  8.8 oz,9.85,belvita breakfast biscuits,8.8,NA
1891550,455,nabisco belvita blueberry breakfast biscuits  4 count  1.76 oz,-1.0,Nabisco,1.76,NA,640,belvita breakfast biscuits  1.76 oz pack  golden oat  64/carton,75.41,belvita breakfast biscuits,1.76,NA
1892254,455,nabisco belvita blueberry breakfast biscuits  4 count  1.76 oz,-1.0,Nabisco,1.76,NA,1344,belvita breakfast biscuits  golden oat breakfast biscuits  9 oz,10.0,belvita breakfast biscuits,9,NA
1892538,455,nabisco belvita blueberry breakfast biscuits  4 count  1.76 oz,-1.0,Nabisco,1.76,NA,1628,belvita breakfast bar  blueberry  1.76 ounce (pack of 64),98.99,belvita breakfast bar,1.76,64.0
1893849,455,nabisco belvita blueberry breakfast biscuits  4 count  1.76 oz,-1.0,Nabisco,1.76,NA,2939,belvita breakfast bar  blueberry 1.76 oz. (pack of 8),9.75,belvita breakfast bar,1.76,8.0
1908600,459,post honey bunches of oats honey roasted cereal  18 oz,3.28,Post,18,NA,1030,kellogg's special k oats & honey cereal 13.1 oz (pack of 14),90.15,kellogg's special k,13.1,14.0
1908808,459,post honey bunches of oats honey roasted cereal  18 oz,3.28,Post,18,NA,1238,honey bunches of oats granola crunchy honey roasted 11 oz. (2 pack),13.49,honey bunches of,11,NA
1908841,459,post honey bunches of oats honey roasted cereal  18 oz,3.28,Post,18,NA,1271,nature valley oats 'n honey cereal granola bars  18 ct,-1.0,nature valley oats,NA,NA
1912000,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,265,kellogg's special k bars  honey nut  6-count boxes (pack of 12),79.95,kellogg's special k,NA,12.0
1912023,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,288,kellogg's special k cereal bar keb01283,5.08,kellogg's special k,NA,NA
1912191,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,456,special k cereal bars honey nut  6-count (pack of 6),36.63,special k cereal,NA,6.0
1912195,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,460,kellogg's special k fruit crisps bars  strawberry  5 ct,4.99,kellogg's special k,NA,NA
1912306,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,571,special k red berries cereal bar  strawberry  12 count,4.58,special k red,NA,NA
1912527,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,792,kellogg's special k cereal bar  chocolate covered strawberry  4.86 ounce,5.45,kellogg's special k,4.86,NA
1912627,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,892,special k cereal bar  strawberry  .81oz  12/box,14.65,special k cereal,81,NA
1912655,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,920,kellogg's special k cereal bars  honey nut  6 ct,50.29,kellogg's special k,NA,NA
1912765,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1030,kellogg's special k oats & honey cereal 13.1 oz (pack of 14),90.15,kellogg's special k,13.1,14.0
1912847,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1112,kellogg's special k cereal bars  chocolately pretzel  6 ct,8.7,kellogg's special k,NA,NA
1912955,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1220,kellogg's special k cereal bar  strawberry  .81 oz  12/box,15.48,kellogg's special k,81,NA
1912988,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1253,kellogg's special k granola bar  dark chocolate  4.76 ounce,5.45,kellogg's special k,4.76,NA
1913314,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1579,special k cereal bar  strawberry;blueberry  .81 oz  12/box,16.98,special k cereal,81,NA
1913594,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,1859,kellogg's special k cereal bars food cereal bar speck str (pack of10),9.53,kellogg's special k,NA,NA
1913824,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,2089,special k cereal bar  strawberry  .81oz  12/box,11.03,special k cereal,81,NA
1914324,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,2589,kellogg's special k protein meal bars  honey almond  6 ct,17.5,kellogg's special k,NA,NA
1914358,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,2623,kellogg's special k cereal bars  strawberry  6 ct,10.86,kellogg's special k,NA,NA
1914720,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,2985,special k cereal bar  strawberry  .81 oz  12/box,12.81,special k cereal,81,NA
1914895,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,3160,kellogg's special k nourish protein meal bar  dark chocolate nut  7.9 ounce,5.38,kellogg's special k,7.9,NA
1915122,460,kellogg's special k honey nut cereal bar  6 ct,2.78,Kellogg's Special K,NA,NA,3387,kellogg's special k fruit crisps bars  blueberry  5 ct,4.99,kellogg's special k,NA,NA
1945556,468,sprout rise organic orange fruit & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,501,sprout rise morning multigrain crunch bites  red berry and beet  3.75 ounce,6.6,sprout rise morning,3.75,NA
1945596,468,sprout rise organic orange fruit & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,541,sprout rise morning multigrain crunch bites  orange fruit and carrot  3.75 ounce,8.76,sprout rise morning,3.75,NA
1948404,468,sprout rise organic orange fruit & carrot morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,3349,sprout rise morning multigrain crunch bites  purple berry and carrot  3.75 ounce,6.6,sprout rise morning,3.75,NA
1957634,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,84,kashi cranberry lemon chewy granola bars with chia 6 bars (pack of 4),31.25,kashi cranberry lemon,NA,4.0
1957899,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,349,kashi granola bars  chewy  chocolate almond & sea salt with chia 24ct.,16.69,kashi granola bars,NA,NA
1959326,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,1776,kashi chewy granola bar  dark mocha almond  1.2 oz bars  10-count,16.39,kashi chewy granola,1.2,NA
1959377,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,1827,nature valley trail mix fruit & nut chewy granola bars  1.2 oz  6 count,-1.0,nature valley trail,1.2,NA
1959395,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,1845,kashi  tlc chewy trail mix granola bars  6 ct  7.4 oz,8.99,kashi  tlc,7.4,NA
1959532,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,1982,nature valley crunchy apple crisp granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA
1959638,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,2088,kashi chewy granola bar  cranberry lemonade  1.2 ounce  6-count bars,2.98,kashi chewy granola,1.2,NA
1959756,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,2206,nature valley crunchy peanut butter granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA
1959986,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,2436,nature valley crunchy pecan crunch granola bars  1.5 oz  6 count,-1.0,nature valley crunchy,1.5,NA
1961138,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,3588,kashi chewy dark mocha almond granola bar  6 ct  1.2 oz,10.68,kashi chewy dark,1.2,NA
1961570,471,kashi berry lemonade with chia granola bars  1.2 oz  6 count,2.98,Kashi,1.2,NA,4020,nature valley crunchy roasted almond granola bars  1.5 oz  6 count,13.98,nature valley crunchy,1.5,NA
1987206,478,sprout rise organic red berry & beet morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,501,sprout rise morning multigrain crunch bites  red berry and beet  3.75 ounce,6.6,sprout rise morning,3.75,NA
1987246,478,sprout rise organic red berry & beet morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,541,sprout rise morning multigrain crunch bites  orange fruit and carrot  3.75 ounce,8.76,sprout rise morning,3.75,NA
1990054,478,sprout rise organic red berry & beet morning multigrain crunch bites  0.75 oz  5 count,-1.0,SPROUT,0.75,NA,3349,sprout rise morning multigrain crunch bites  purple berry and carrot  3.75 ounce,6.6,sprout rise morning,3.75,NA
1991377,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,507,kellogg's nutri-grain cereal bars apple cinnamon  8.0 ct (6 pack),53.89,kellogg's nutri-grain cereal,NA,NA
1991790,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,920,kellogg's special k cereal bars  honey nut  6 ct,50.29,kellogg's special k,NA,NA
1991981,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,1111,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA
1991982,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,1112,kellogg's special k cereal bars  chocolately pretzel  6 ct,8.7,kellogg's special k,NA,NA
1992337,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,1467,kellogg's nutri-grain cereal bars  variety pack of strawberry and apple cinnamon  48-count box,16.96,kellogg's nutri-grain cereal,NA,NA
1992738,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,1868,kellogg's nutri-grain cereal bars  apple cinnamon  16-count bars (pack of 3),36.61,kellogg's nutri-grain cereal,NA,3.0
1992948,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2078,nutri-grain cereal bars  apple cinnamon  8-count bars (pack of 3),21.2,nutri-grain cereal bars,NA,3.0
1992990,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2120,gerber graduates cereal bars - apple cinnamon - 8 ct,2.88,gerber graduates cereal,NA,NA
1993403,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2533,kellogg's  nutri-grain raspberry cereal bars  8 ct  10.4 oz,11.49,kellogg's  nutri-grain,10.4,NA
1993493,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2623,kellogg's special k cereal bars  strawberry  6 ct,10.86,kellogg's special k,NA,NA
1993588,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2718,kellogg's nutri-grain cereal bars  36 count,16.59,kellogg's nutri-grain cereal,NA,NA
1993695,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,2825,kellogg's  nutri-grain blueberry cereal bars  8 ct  10.4 oz,8.98,kellogg's  nutri-grain,10.4,NA
1994550,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,3680,kellogg's nutri grain cereal bars apple cinnamon 8 ct,5.99,kellogg's nutri grain,NA,NA
1994616,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,3746,kellogg's nutri-grain cereal bars  apple cinnamon big pack  16-count boxes (pack of 2),24.0,kellogg's nutri-grain cereal,NA,2.0
1994657,479,kellogg's nutri-grain cereal bars  apple cinnamon  8 ct,2.78,Nutri-Grain,NA,NA,3787,jordans frusli cereal bars apple  sultana & cinnamon (6x30g),7.99,jordans frusli cereal,NA,NA
1999758,481,cinnamon burst cheerios cereal  10 oz,2.98,Cheerios,10,NA,558,glutino cereal apple cinnamon  gluten free 0. oz,19.18,glutino cereal apple,NA,NA
2007594,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,64,nutri-grain cereal bars  cherry  8-count bars (pack of 6),16.68,nutri-grain cereal bars,NA,6.0
2007717,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,187,nutri-grain cereal bars  raspberry  8-count bars (pack of 6),39.5,nutri-grain cereal bars,NA,6.0
2007794,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,264,tanka apple orange peel bars  1 ounce (pack of 12),33.77,tanka apple orange,1,12.0
2007973,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,443,nature valley crunchy granola bars  pecan crunch  (pack of 12),60.93,nature valley crunchy,NA,12.0
2007986,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,456,special k cereal bars honey nut  6-count (pack of 6),36.63,special k cereal,NA,6.0
2008202,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,672,special k bars  blueberry  6-count bars (pack of 12),32.0,special k bars,NA,12.0
2008671,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1141,nutri-grain cereal bars  blueberry  8-count bars (pack of 6),26.99,nutri-grain cereal bars,NA,6.0
2008882,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1352,bar cereal kids coco rice (pack of 12),76.05,bar cereal kids,NA,12.0
2008895,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1365,special k cereal bars blueberry  6-count (pack of 6),32.57,special k cereal,NA,6.0
2009067,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1537,nutri-grain cereal bars  strawberry  10.4 oz  (pack of 3),19.99,nutri-grain cereal bars,10.4,3.0
2009119,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1589,organic food bar  vegan 68 gram bars (pack of 12),25.85,organic food bar,NA,12.0
2009296,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1766,nutri-grain cereal bars  strawberry 8- count bars (pack of 4),28.85,nutri-grain cereal bars,NA,4.0
2009516,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,1986,icee freezer bars  10 count (pack of 12),-1.0,icee freezer bars,NA,12.0
2009608,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,2078,nutri-grain cereal bars  apple cinnamon  8-count bars (pack of 3),21.2,nutri-grain cereal bars,NA,3.0
2009926,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,2396,kashi tlc cereal bars cherry vanilla  7.2-ounce (pack of 3),20.0,kashi tlc cereal,NA,3.0
2010148,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,2618,live smart flax bars  chocolate  1.76 ounce (pack of 12),25.43,live smart flax,1.76,12.0
2010161,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,2631,kedem kids breakfast cereal bars  crunchee coco rice cereal bars  8-count 5.9-ounce boxes (pack of 6),42.0,kedem kids breakfast,NA,6.0
2010318,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,2788,clif dipped chocolate peanut mojo bar  1.59-ounce bars (pack of 12),16.68,clif dipped chocolate,NA,12.0
2010852,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,3322,squarebar organic protein bar cocoa coconut  1.7-ounce bars (pack of 12),30.54,squarebar organic protein,NA,12.0
2010891,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,3361,rice krispies treats  the original  16-count bars (pack of 6),21.96,rice krispies treats,NA,6.0
2011010,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,3480,reese's puffs cereal bar treats  5.1 ounce (pack of 12),-1.0,reese's puffs cereal,5.1,12.0
2011444,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,3914,kashi tlc cereal bar  6-count bars (pack of 4),26.99,kashi tlc cereal,NA,4.0
2011484,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,3954,organic food bar  original bars  68 gm (pack of 12),25.85,organic food bar,NA,12.0
2011573,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,4043,quaker baked mixed berry crisp bars  8-count bars (pack of 12),39.45,quaker baked mixed,NA,12.0
2011672,483,kedem kids telma crunchee original cereal bars  8ct (pack of 12),54.88,Kedem,NA,12.0,4142,nutri-grain cereal bars  mixed berry  8-count bars (pack of 6),32.89,nutri-grain cereal bars,NA,6.0
2012277,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,582,kashi tlc cereal bar  ripe strawberry  6 -count bars (pack of 3),23.99,kashi tlc cereal,NA,3.0
2012440,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,745,kashi tlc crunchy granola bars  almond  12 ct,5.99,kashi tlc crunchy,NA,NA
2012615,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,920,kellogg's special k cereal bars  honey nut  6 ct,50.29,kellogg's special k,NA,NA
2012659,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,964,health valley cereal bars  strawberry cobbler  6 count,4.67,health valley cereal,NA,NA
2012807,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,1112,kellogg's special k cereal bars  chocolately pretzel  6 ct,8.7,kellogg's special k,NA,NA
2013540,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,1845,kashi  tlc chewy trail mix granola bars  6 ct  7.4 oz,8.99,kashi  tlc,7.4,NA
2014091,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,2396,kashi tlc cereal bars cherry vanilla  7.2-ounce (pack of 3),20.0,kashi tlc cereal,NA,3.0
2014192,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,2497,kashi cereal bar  ripe strawberry  7.2 ounce (pack of 6),21.02,kashi cereal bar,7.2,6.0
2014226,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,2531,kashi ripe strawberry tlc cereal bar  7.2 ounce -- 72 per case.,56.75,kashi ripe strawberry,7.2,NA
2014318,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,2623,kellogg's special k cereal bars  strawberry  6 ct,10.86,kellogg's special k,NA,NA
2014476,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,2781,kashi tlc cereal bars  strawberry  6 ct,4.57,kashi tlc cereal,NA,NA
2015609,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,3914,kashi tlc cereal bar  6-count bars (pack of 4),26.99,kashi tlc cereal,NA,4.0
2015841,484,kashi tlc ripe strawberry cereal bars  6 ct,2.98,Kashi,NA,NA,4146,kashi  tlc ripe strawberry cereal bars  6 ct  7.2 oz,22.04,kashi  tlc,7.2,NA
2025727,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,1537,nutri-grain cereal bars  strawberry  10.4 oz  (pack of 3),19.99,nutri-grain cereal bars,10.4,3.0
2026239,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,2049,quaker banana nut bread soft baked bars   7.4 oz (pack of 12),46.49,quaker banana nut,7.4,12.0
2026267,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,2077,quaker 25% less sugar chocolate chip granola bars  6.7 oz (pack of 12),72.41,quaker 25% less,6.7,12.0
2026483,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,2293,quaker cinnamon pecan bread soft baked bars   7.4 oz (pack of 12),70.36,quaker cinnamon pecan,7.4,12.0
2026640,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,2450,fiber one chewy bars protein peanut butter   5.8 oz (pack of 12),69.7,fiber one chewy,5.8,12.0
2026821,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,2631,kedem kids breakfast cereal bars  crunchee coco rice cereal bars  8-count 5.9-ounce boxes (pack of 6),42.0,kedem kids breakfast,NA,6.0
2027567,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,3377,quaker cereal bars  apple crisp 1.30 oz bars 8-count bars (pack of 6),20.02,quaker cereal bars,1.30,6.0
2027670,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,3480,reese's puffs cereal bar treats  5.1 ounce (pack of 12),-1.0,reese's puffs cereal,5.1,12.0
2027676,487,kedem kids crunchee crispy cookie cereal bars  5.1 oz (pack of 12),54.88,Kedem,5.1,12.0,3486,quaker chewy dipps chocolate chip granola bars  6.5 oz (pack of 12),65.57,quaker chewy dipps,6.5,12.0
2033014,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,494,kellogg's nutri-grain cereal bars raspberry - 16 pack,17.32,kellogg's nutri-grain cereal,NA,NA
2033027,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,507,kellogg's nutri-grain cereal bars apple cinnamon  8.0 ct (6 pack),53.89,kellogg's nutri-grain cereal,NA,NA
2033440,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,920,kellogg's special k cereal bars  honey nut  6 ct,50.29,kellogg's special k,NA,NA
2033631,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,1111,kellogg's  nutri-grain apple cinnamon cereal bars  8 ct  10.4 oz,12.39,kellogg's  nutri-grain,10.4,NA
2033632,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,1112,kellogg's special k cereal bars  chocolately pretzel  6 ct,8.7,kellogg's special k,NA,NA
2033702,489,kellogg's nutri-grain mixed berry cereal bars  8 ct,2.78,Nutri-Grain,NA,NA,1182,kellogg's nutri-grain ceral bars mixed berry  6-count box (pack of 6),42.1,kellogg's nutri-grain ceral,NA,6.0
